image_id,storm_id,image_path,relative_path,lat,lon,wind_speed_kt,min_pressure_mb,grade,timestamp
dt_sample_0000,DT_2020_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0000.npy,images/dt_sample_0000.npy,12.0,85.0,25.0,1008.0,3,2020-05-16T00:00:00Z
dt_sample_0001,DT_2020_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0001.npy,images/dt_sample_0001.npy,12.25,85.15,35.4,1001.2,4,2020-05-16T03:00:00Z
dt_sample_0002,DT_2020_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0002.npy,images/dt_sample_0002.npy,12.5,85.3,45.8,994.5,4,2020-05-16T06:00:00Z
dt_sample_0003,DT_2020_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0003.npy,images/dt_sample_0003.npy,12.75,85.45,56.2,987.7,4,2020-05-16T09:00:00Z
dt_sample_0004,DT_2020_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0004.npy,images/dt_sample_0004.npy,13.0,85.6,66.6,981.0,5,2020-05-16T12:00:00Z
dt_sample_0005,DT_2020_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0005.npy,images/dt_sample_0005.npy,13.25,85.75,77.0,974.2,5,2020-05-16T15:00:00Z
dt_sample_0006,DT_2020_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0006.npy,images/dt_sample_0006.npy,13.5,85.9,87.4,967.4,5,2020-05-16T18:00:00Z
dt_sample_0007,DT_2020_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0007.npy,images/dt_sample_0007.npy,13.75,86.05,97.8,960.7,5,2020-05-16T21:00:00Z
dt_sample_0008,DT_2020_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0008.npy,images/dt_sample_0008.npy,14.0,86.2,108.2,953.9,5,2020-05-16T00:00:00Z
dt_sample_0009,DT_2020_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0009.npy,images/dt_sample_0009.npy,14.25,86.35,118.6,947.2,5,2020-05-16T03:00:00Z
dt_sample_0010,DT_2020_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0010.npy,images/dt_sample_0010.npy,14.5,86.5,29.0,1005.4,3,2020-05-17T06:00:00Z
dt_sample_0011,DT_2020_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0011.npy,images/dt_sample_0011.npy,14.75,86.65,39.4,998.6,4,2020-05-17T09:00:00Z
dt_sample_0012,DT_2020_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0012.npy,images/dt_sample_0012.npy,15.0,86.8,49.8,991.9,4,2020-05-17T12:00:00Z
dt_sample_0013,DT_2020_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0013.npy,images/dt_sample_0013.npy,15.25,86.95,60.2,985.1,4,2020-05-17T15:00:00Z
dt_sample_0014,DT_2020_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0014.npy,images/dt_sample_0014.npy,15.5,87.1,70.6,978.4,5,2020-05-17T18:00:00Z
