image_id,storm_id,image_path,relative_path,wind_speed_kt,min_pressure_mb,time_step
storm_sample_000,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_000.npy,images/storm_sample_000.npy,30.0,1005.0,0
storm_sample_001,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_001.npy,images/storm_sample_001.npy,43.0,995.9,1
storm_sample_002,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_002.npy,images/storm_sample_002.npy,56.0,986.8,2
storm_sample_003,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_003.npy,images/storm_sample_003.npy,69.0,977.7,3
storm_sample_004,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_004.npy,images/storm_sample_004.npy,82.0,968.6,4
storm_sample_005,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_005.npy,images/storm_sample_005.npy,95.0,959.5,5
storm_sample_006,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_006.npy,images/storm_sample_006.npy,108.0,950.4,6
storm_sample_007,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_007.npy,images/storm_sample_007.npy,121.0,941.3,7
storm_sample_008,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_008.npy,images/storm_sample_008.npy,34.0,1002.2,8
storm_sample_009,SYN_00,ml/cyclone/data/drivendata/images/storm_sample_009.npy,images/storm_sample_009.npy,47.0,993.1,9
storm_sample_010,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_010.npy,images/storm_sample_010.npy,60.0,984.0,0
storm_sample_011,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_011.npy,images/storm_sample_011.npy,73.0,974.9,1
storm_sample_012,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_012.npy,images/storm_sample_012.npy,86.0,965.8,2
storm_sample_013,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_013.npy,images/storm_sample_013.npy,99.0,956.7,3
storm_sample_014,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_014.npy,images/storm_sample_014.npy,112.0,947.6,4
storm_sample_015,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_015.npy,images/storm_sample_015.npy,125.0,938.5,5
