SID,NAME,ISO_TIME,LAT,LON,WMO_WIND,USA_WIND,WMO_PRES,USA_PRES,STORM_SPEED,STORM_DIR,NATURE,BASIN
1842298N11080,NOT_NAMED,1842-10-25 03:00:00,10.9,80.3,,,,,9.0,266.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-25 06:00:00,10.8709,79.8265,,,,,9.0,267.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-25 09:00:00,10.8431,79.3524,,,,,9.0,267.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-25 12:00:00,10.8188,78.8772,,,,,9.0,267.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-25 15:00:00,10.8,78.4,,,,,9.0,268.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-25 18:00:00,10.7884,77.9194,,,,,10.0,269.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-25 21:00:00,10.7845,77.4299,,,,,10.0,270.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-26 00:00:00,10.7884,76.9256,,,,,10.0,271.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-26 03:00:00,10.8,76.4,,,,,11.0,271.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-26 06:00:00,10.8096,75.8424,,,,,11.0,271.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-26 09:00:00,10.8274,75.2649,,,,,11.0,272.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-26 12:00:00,10.8565,74.6799,,,,,11.0,274.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-26 15:00:00,10.9,74.1,,,,,11.0,275.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-26 18:00:00,10.9645,73.5308,,,,,11.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-26 21:00:00,11.0423,72.9702,,,,,11.0,278.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-27 00:00:00,11.1239,72.4245,,,,,11.0,279.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-27 03:00:00,11.2,71.9,,,,,10.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-27 06:00:00,11.2527,71.4073,,,,,10.0,276.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-27 09:00:00,11.2994,70.9348,,,,,9.0,276.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-27 12:00:00,11.3464,70.4698,,,,,9.0,276.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-27 15:00:00,11.4,70.0,,,,,10.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-27 18:00:00,11.4762,69.4627,,,,,11.0,279.0,NR,NI
